id,distancia,rota
1,539.6229949901934,"[ 1  2 23  4 21 36 37 29 32 27  9  1 33 12 17  3 30 22 51 10 50  6  1 39
 35 31 11 40 34 46 16 38 13  1 48  5 18 45 43 20 41 42 14 19  1  7 15 26
 25 44  8 24 49 28 47  1]"
2,552.1573382291999,"[ 1 12  3 21 36 37  4 29 23  2 33  1 17 30 22 35 51 10 50  6 18 48  1 15
 26 14 42 41 20 43 45  5 19  1 13 38 16 46 34 40 11 31 39 47  1  7 24 25
 44  8 27 32  9 49 28  1]"
3,689.4365754777375,"[ 1 10 51 30 22 35 31 11 40 34 46  1 13 38 18  5 19 26 14 45 16  6  1 48
 42 41 20 43 50 21 36 37  4  1  2  3 23  9 49  8 24  7 28 47  1 33 12 39
 17 29 32 27 44 25 15  1]"
4,597.724981366464,"[ 1 47  2 23 29 32 27 44 25 15 19  1 50 11 40 31 35 22 17 51 10 39  1 18
 38 16 34 46 45 43 20 41 42  1 13  6 12  3 30 21 36 37  4 33  1 48  5 14
 26  7 24  8  9 49 28  1]"
5,605.9656710012765,"[ 1 39 10 31 11 40 34 46 16 45 43  1 19 26 14 42 41 20  5 18 13 47  1 12
 17 51 35 22 30 36 37  4 29  1 28 49  9 27 32 23 21  3  2 33  1  6 50 38
 48 15 25 44  8 24  7  1]"
6,549.383473276145,"[ 1 12 39 35 31 11 40 34 46 38 13  1  6 50 10 51 17 22 30  3 23  2  1 33
 21 36 37  4 29 32 27  9 28  1 48  5 14 42 41 20 43 45 16 18  1  7 49 24
  8 44 25 15 26 19 47  1]"
7,556.1512610592432,"[ 1 15 26 25 44 24  8 27  9 49 28  1 12 39 50 34 46 16 38 18  5 48  1  6
 10 51 17 30 22 35 31 40 11  1  2 23 32 29  4 37 36 21  3 33  1  7 19 14
 42 41 20 43 45 13 47  1]"
8,577.2394325858508,"[ 1  2 23  4 37 36 21 30 22  3 33  1 39 10  6 13 48 18  5 26 15  7  1 19
 14 42 41 20 43 45 46 16 38  1 47 50 11 34 40 31 35 51 17 12  1 28  9 29
 32 27  8 44 25 24 49  1]"
9,620.6729493071953,"[ 1 47 13 18  5 42 41 20 43 45 38  1 33 10 40 51 30 29 32 27  9 49  1 48
 19 14 26 15 25 44  8 24  7  1 28  2 39 50 31 11 34 46 16  6  1 12  3 17
 35 22 21 36 37  4 23  1]"
10,588.8381040999215,"[ 1 38 16 46 34 40 11 50 31 35 22  1 48 19 26 15  7 28 33 12 39  6  1  5
 14 42 41 20 43 45 18 13 47  1 10 51 30 21 36 37  4 29 32  2  1 17  3 23
  9 27  8 44 25 24 49  1]"
11,550.1118384924496,"[ 1 19 15 26 14 42 41 20  5 18 48  1  2 23 29  4 37 36 21  3 12 47  1 13
 39 10 31 35 51 22 30 17 33  1  6 50 11 40 34 46 16 45 43 38  1  7 24 25
 44  8 27 32  9 49 28  1]"
12,594.6170613391521,"[ 1 13 19  5 43 20 41 42 14 26 15  1 47 38 16 50 35 22 30 17 39  6  1 48
 18 45 46 34 40 11 31 51 10  1  7 24 25 44  8 27  9 23  3 33  1 28 49  2
 32 29  4 37 36 21 12  1]"
13,618.1090036620978,"[ 1 23 37 36 30 22 35 31 50 38 18  1 28  2 32 29  4 21  3 17 12 33  1  6
 11 40 34 46 20 41 42 14 19  1 47 13 48  5 43 45 16 10 51 39  1 49  9 27
  8 24 44 25 26 15  7  1]"
14,619.1447881086749,"[ 1  2 21 36 37  4 29 32 27  8 24  1 15 25 44  9 23  3 30 22 35 31  1 47
 39 10 51 17 12 33 28 49  7  1 50 40 34 46 43 20 41 42 14 26  1 48 19  5
 18 38 45 16 11  6 13  1]"
15,607.9257203674804,"[ 1 47  6 50 35 31 11 40 34 46 16  1  8 27  9  3 17 22 51 10 39 12  1  5
 43 20 41 42 14 26 15 25  7  1  2 23 32 29  4 37 36 21 30 33  1 13 38 45
 18 48 19 44 24 49 28  1]"
16,578.6061116459348,"[ 1  3 30 21 36 37  4 29 32 23  2  1  6 50 11 40 31 35 22 51 10 39  1 19
 26 14 42  5 48 47 12 17 33  1 18 20 41 43 45 46 34 16 38 13  1  7 15 25
 44 24  8 27  9 49 28  1]"
17,611.6659239429023,"[ 1 28 49  9 32 23  4 37 36  3  1  7 24 27  8 44 25 15 26 19  1 39 10 51
 35 31 40 11 50  1 13 38 45 16 46 34  6 47  1 33  2 29 21 30 22 17 12  1
 48  5 14 42 41 20 43 18  1]"
18,599.6284670337703,"[ 1 28 49  9 27  8 44 42 20  5 19  1 48 38 16 46 34 40 11 31 35 10  1 18
 45 43 41 14 26 15 25 24  7  1 23 32 29  4 37 36 21  3  2 33  1 13  6 50
 51 22 30 17 39 12 47  1]"
19,683.9760057906593,"[ 1  7 24 25 44  8 27  9 49 15 19  1 13 48  5 20 43 45 16 46 34 39  1  3
 17 51 22 35 31 40 11 50 10  1 33 28 32 29  4 30  6 38 18 47  1 26 14 41
 42 12 21 36 37 23  2  1]"
20,554.2219088126989,"[ 1 48  5 19 14 42 41 20 43 18 13  1  6 38 45 16 46 34 11 50 10 39  1 33
  3 21 36 37  4 29 32 27  9  1  2 23 30 22 35 40 31 51 17 12  1 47  7 15
 26 25 44  8 24 49 28  1]"
